,Category,sub1,sub2,Role,Exp,Range,Display Role
63,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,35 - 45,Marketing in Consumer Goods (FMCG)
64,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,45 - 85,Marketing in Consumer Goods (FMCG)
65,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,10 - 15,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
66,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,12 - 22,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
67,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,22 - 40,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
68,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Regulatory_Affairs___QA___RA_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,35 - 50,Regulatory Affairs / QA / RA in Consumer Goods (FMCG)
69,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,3 - 5 years,06 - 10,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)
70,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,5 - 10 years,08 - 20,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)
71,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,10 - 15 years,15 - 30,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)
72,Sales & Marketing,Consumer Goods (FMCG),Medical Devices,Clinical___Application___Product_Specialist___Service_Sales_and_Marketing_Consumer_Goods_(FMCG)_Medical_Devices,15+ years,25 - 60,Clinical / Application / Product Specialist / Service in Consumer Goods (FMCG)
73,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,18 - 28,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)
74,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,30 - 70,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)
75,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,55 - 85,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)
76,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,15 - 22 years,80 - 180,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)
77,Sales & Marketing,Consumer Goods (FMCG),FMCD,Candidates_with_Pedigree_(Top_20_B-Schools)_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,22+ years,120 - 220,Candidates with Pedigree (Top 20 B-Schools) in Consumer Goods (FMCG)
78,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,10 - 24,Sales / Channel Management in Consumer Goods (FMCG)
79,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,20 - 50,Sales / Channel Management in Consumer Goods (FMCG)
80,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,30 - 80,Sales / Channel Management in Consumer Goods (FMCG)
81,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,15 - 22 years,60 - 120,Sales / Channel Management in Consumer Goods (FMCG)
82,Sales & Marketing,Consumer Goods (FMCG),FMCD,Sales___Channel_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,22+ years,70 - 180,Sales / Channel Management in Consumer Goods (FMCG)
83,Sales & Marketing,Consumer Goods (FMCG),FMCD,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,16 - 24,E-commerce in Consumer Goods (FMCG)
84,Sales & Marketing,Consumer Goods (FMCG),FMCD,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,30 - 60,E-commerce in Consumer Goods (FMCG)
85,Sales & Marketing,Consumer Goods (FMCG),FMCD,E-commerce_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,50 - 100,E-commerce in Consumer Goods (FMCG)
86,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,18 - 28,Brand / Category Management in Consumer Goods (FMCG)
87,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,20 - 50,Brand / Category Management in Consumer Goods (FMCG)
88,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,40 - 80,Brand / Category Management in Consumer Goods (FMCG)
89,Sales & Marketing,Consumer Goods (FMCG),FMCD,Brand___Category_Management_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,15 - 22 years,70 - 120,Brand / Category Management in Consumer Goods (FMCG)
90,Sales & Marketing,Consumer Goods (FMCG),FMCD,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,3 - 5 years,16 - 24,Digital Marketing in Consumer Goods (FMCG)
91,Sales & Marketing,Consumer Goods (FMCG),FMCD,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,5 - 10 years,30 - 60,Digital Marketing in Consumer Goods (FMCG)
92,Sales & Marketing,Consumer Goods (FMCG),FMCD,Digital_Marketing_Sales_and_Marketing_Consumer_Goods_(FMCG)_FMCD,10 - 15 years,50 - 100,Digital Marketing in Consumer Goods (FMCG)
93,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,3 - 5 years,12 - 24,Sales / Operations in Consumer Goods (FMCG)
94,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,5 - 10 years,20 - 50,Sales / Operations in Consumer Goods (FMCG)
95,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,10 - 15 years,30 - 80,Sales / Operations in Consumer Goods (FMCG)
96,Sales & Marketing,Consumer Goods (FMCG),Retail,Sales___Operations_Sales_and_Marketing_Consumer_Goods_(FMCG)_Retail,15 - 22 years,60 - 140,Sales / Operations in Consumer Goods (FMCG)
