,Category,sub1,sub2,Role,Exp,Range,Display Role
82,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,HR_Generalist___Business_Partner_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,20 - 25,HR Generalist / Business Partner in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
83,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,HR_Generalist___Business_Partner_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,25 - 40,HR Generalist / Business Partner in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
84,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,HR_Generalist___Business_Partner_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,15+ years,50 - 75,HR Generalist / Business Partner in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
85,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Learning_and_Development_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,16 - 25,Learning & Development in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
86,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Learning_and_Development_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,25 - 40,Learning & Development in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
87,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Learning_and_Development_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,15+ years,40 - 60,Learning & Development in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
88,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Compensation_and_Benefits_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,20 - 30,Compensation & Benefits in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
89,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Compensation_and_Benefits_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,30 - 45,Compensation & Benefits in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
90,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Compensation_and_Benefits_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,15+ years,55 - 110,Compensation & Benefits in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
91,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Talent_Acquisition_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,15 - 25,Talent Acquisition in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
92,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Talent_Acquisition_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,10 - 15 years,25 - 40,Talent Acquisition in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
93,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,Talent_Acquisition_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,15+ years,40 - 70,Talent Acquisition in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
94,Human Resources,Banking & Financial Services,Small-Capital Companies / Non-Listed Organisations,HR_Operations___Payroll___HRIS_Banking_and_Financial_Services_Small-Capital_Companies___Non-Listed_Organisations,5 - 10 years,15 - 20,HR Operations / Payroll / HRIS in Banking & Financial Services-Small-Capital Companies / Non-Listed Organisations
