,Category,sub1,sub2,Exp,Range,Role,Display Role
74,Finance & Accounting,Shared Services,Accounts Receivable / Order to Cash Ops,10 - 15 years,25 - 75,Finance_and_Accounting_Shared_Services_Accounts_Receivable___Order_to_Cash_Ops,Shared Services Accounts Receivable / Order to Cash Ops
75,Finance & Accounting,Shared Services,Accounts Receivable / Order to Cash Ops,15+ years,45 - 130,Finance_and_Accounting_Shared_Services_Accounts_Receivable___Order_to_Cash_Ops,Shared Services Accounts Receivable / Order to Cash Ops
76,Finance & Accounting,Shared Services,Accounts Payable / Procure to Pay Ops,3 - 5 years,07 - 15,Finance_and_Accounting_Shared_Services_Accounts_Payable___Procure_to_Pay_Ops,Shared Services Accounts Payable / Procure to Pay Ops
77,Finance & Accounting,Shared Services,Accounts Payable / Procure to Pay Ops,5 - 10 years,12 - 35,Finance_and_Accounting_Shared_Services_Accounts_Payable___Procure_to_Pay_Ops,Shared Services Accounts Payable / Procure to Pay Ops
78,Finance & Accounting,Shared Services,Accounts Payable / Procure to Pay Ops,10 - 15 years,25 - 60,Finance_and_Accounting_Shared_Services_Accounts_Payable___Procure_to_Pay_Ops,Shared Services Accounts Payable / Procure to Pay Ops
79,Finance & Accounting,Shared Services,Accounts Payable / Procure to Pay Ops,15+ years,40 - 120,Finance_and_Accounting_Shared_Services_Accounts_Payable___Procure_to_Pay_Ops,Shared Services Accounts Payable / Procure to Pay Ops
80,Finance & Accounting,Shared Services,Finance Transformation / Change Management,3 - 5 years,12 - 25,Finance_and_Accounting_Shared_Services_Finance_Transformation___Change_Management,Shared Services Finance Transformation / Change Management
81,Finance & Accounting,Shared Services,Finance Transformation / Change Management,5 - 10 years,20 - 50,Finance_and_Accounting_Shared_Services_Finance_Transformation___Change_Management,Shared Services Finance Transformation / Change Management
82,Finance & Accounting,Shared Services,Finance Transformation / Change Management,10 - 15 years,30 - 85,Finance_and_Accounting_Shared_Services_Finance_Transformation___Change_Management,Shared Services Finance Transformation / Change Management
83,Finance & Accounting,Shared Services,Finance Transformation / Change Management,15+ years,50 - 150,Finance_and_Accounting_Shared_Services_Finance_Transformation___Change_Management,Shared Services Finance Transformation / Change Management
84,Finance & Accounting,Shared Services,Transitions,3 - 5 years,10 - 18,Finance_and_Accounting_Shared_Services_Transitions,Shared Services Transitions
85,Finance & Accounting,Shared Services,Transitions,5 - 10 years,14 - 40,Finance_and_Accounting_Shared_Services_Transitions,Shared Services Transitions
86,Finance & Accounting,Shared Services,Transitions,10 - 15 years,30 - 65,Finance_and_Accounting_Shared_Services_Transitions,Shared Services Transitions
87,Finance & Accounting,Shared Services,Transitions,15+ years,40 - 80,Finance_and_Accounting_Shared_Services_Transitions,Shared Services Transitions
88,Finance & Accounting,Shared Services,Process Design / Global Process Owner,5 - 10 years,15 - 45,Finance_and_Accounting_Shared_Services_Process_Design___Global_Process_Owner,Shared Services Process Design / Global Process Owner
89,Finance & Accounting,Shared Services,Process Design / Global Process Owner,10 - 15 years,30 - 70,Finance_and_Accounting_Shared_Services_Process_Design___Global_Process_Owner,Shared Services Process Design / Global Process Owner
90,Finance & Accounting,Shared Services,Process Design / Global Process Owner,15+ years,50 - 160,Finance_and_Accounting_Shared_Services_Process_Design___Global_Process_Owner,Shared Services Process Design / Global Process Owner
91,Finance & Accounting,Shared Services,Operational Excellence / Process Excellence,3 - 5 years,10 - 20,Finance_and_Accounting_Shared_Services_Operational_Excellence___Process_Excellence,Shared Services Operational Excellence / Process Excellence
92,Finance & Accounting,Shared Services,Operational Excellence / Process Excellence,5 - 10 years,15 - 45,Finance_and_Accounting_Shared_Services_Operational_Excellence___Process_Excellence,Shared Services Operational Excellence / Process Excellence
93,Finance & Accounting,Shared Services,Operational Excellence / Process Excellence,10 - 15 years,30 - 80,Finance_and_Accounting_Shared_Services_Operational_Excellence___Process_Excellence,Shared Services Operational Excellence / Process Excellence
94,Finance & Accounting,Shared Services,Operational Excellence / Process Excellence,15+ years,50 - 140,Finance_and_Accounting_Shared_Services_Operational_Excellence___Process_Excellence,Shared Services Operational Excellence / Process Excellence
95,Finance & Accounting,Shared Services,Treasury Operations,3 - 5 years,10 - 25,Finance_and_Accounting_Shared_Services_Treasury_Operations,Shared Services Treasury Operations
96,Finance & Accounting,Shared Services,Treasury Operations,5 - 10 years,25 - 50,Finance_and_Accounting_Shared_Services_Treasury_Operations,Shared Services Treasury Operations
97,Finance & Accounting,Shared Services,Treasury Operations,10 - 15 years,50 - 80,Finance_and_Accounting_Shared_Services_Treasury_Operations,Shared Services Treasury Operations
98,Finance & Accounting,Shared Services,Treasury Operations,15+ years,80 - 120,Finance_and_Accounting_Shared_Services_Treasury_Operations,Shared Services Treasury Operations
99,Finance & Accounting,Shared Services,Taxation COE,3 - 5 years,10 - 22,Finance_and_Accounting_Shared_Services_Taxation_COE,Shared Services Taxation COE
100,Finance & Accounting,Shared Services,Taxation COE,5 - 10 years,15 - 40,Finance_and_Accounting_Shared_Services_Taxation_COE,Shared Services Taxation COE
101,Finance & Accounting,Shared Services,Taxation COE,10 - 15 years,30 - 60,Finance_and_Accounting_Shared_Services_Taxation_COE,Shared Services Taxation COE
102,Finance & Accounting,Shared Services,Taxation COE,15+ years,50 - 120,Finance_and_Accounting_Shared_Services_Taxation_COE,Shared Services Taxation COE
103,Finance & Accounting,Shared Services,Service Desk / Customer Support (General),3 - 5 years,05 - 15,Finance_and_Accounting_Shared_Services_Service_Desk___Customer_Support_(General),Shared Services Service Desk / Customer Support (General)
104,Finance & Accounting,Shared Services,Service Desk / Customer Support (General),5 - 10 years,10 - 25,Finance_and_Accounting_Shared_Services_Service_Desk___Customer_Support_(General),Shared Services Service Desk / Customer Support (General)
105,Finance & Accounting,Shared Services,Service Desk / Customer Support (General),10 - 15 years,15 - 40,Finance_and_Accounting_Shared_Services_Service_Desk___Customer_Support_(General),Shared Services Service Desk / Customer Support (General)
106,Finance & Accounting,Shared Services,Service Desk / Customer Support (General),15+ years,40 - 100+,Finance_and_Accounting_Shared_Services_Service_Desk___Customer_Support_(General),Shared Services Service Desk / Customer Support (General)
107,Finance & Accounting,Shared Services,BPO Operations,3 - 5 years,05 - 15,Finance_and_Accounting_Shared_Services_BPO_Operations,Shared Services BPO Operations
108,Finance & Accounting,Shared Services,BPO Operations,5 - 10 years,10 - 25,Finance_and_Accounting_Shared_Services_BPO_Operations,Shared Services BPO Operations
109,Finance & Accounting,Shared Services,BPO Operations,10 - 15 years,15 - 40,Finance_and_Accounting_Shared_Services_BPO_Operations,Shared Services BPO Operations
110,Finance & Accounting,Shared Services,BPO Operations,15+ years,40 - 100+,Finance_and_Accounting_Shared_Services_BPO_Operations,Shared Services BPO Operations
